Id,SalePrice
2658,132167.3105937757
2718,219207.26504072204
2414,181140.52863612954
1989,116111.40959895632
625,171587.21942527164
333,100561.37557720327
1327,113540.67882650581
858,146497.5617900995
95,204742.1677439104
1568,157734.10450997495
2482,172135.84472724563
1364,129421.81846459198
2584,162116.94199932812
818,312937.30814719445
2673,155405.45502302778
2089,117078.50160050979
1297,135489.23859061283
790,127348.26775409632
2616,193161.673530469
720,175687.70527763636
222,140281.06249920157
557,121047.54072894964
1148,210831.50037046752
2766,144545.00124059606
534,190468.5017499053
1452,118072.48117115062
630,139592.90420225795
2648,118222.56374145449
125,141568.6458410119
1904,74876.20435328154
1670,114063.31483212707
756,100451.09256533715
717,229516.29164615422
1032,154993.59158321843
852,226356.73816631653
1731,184310.9791325416
2639,120153.8232636429
2071,84214.8081779918
1267,110230.18695924043
1851,199346.28915517495
567,152953.25587065503
2439,206378.7710339126
1898,153000.3557296561
647,141783.1523570803
2256,211643.58246063642
979,107872.27287806092
1444,212871.25584555086
2485,109260.93898618701
157,132176.9177000275
88,127291.34048773929
2003,105309.97085400874
186,180219.0604933537
1425,283564.9501925242
2695,123313.8275764502
738,99576.240979031
395,151533.50508532926
1353,160882.8916911482
1878,142639.93728517287
390,175606.86163136305
1456,232786.2076407882
1103,334062.4925100572
1387,125138.29718016379
2070,146312.2496120959
1199,176444.35065817856
2479,169948.64296842754
501,327384.35032983904
2362,102167.6976137415
1718,195297.51174608117
2188,85218.99320211525
1483,138198.63572031015
2557,94154.4879605502
437,333632.39599121845
2224,186564.77224320822
1628,160514.0547234905
397,132052.75129164988
587,202992.6785084869
971,133165.80732130355
2611,153019.83905804108
1887,95038.0157068926
2399,325455.56288619735
2148,218991.02982786842
304,120042.88955548659
1997,122965.64042221957
2817,131875.505194328
1431,175804.57369630257
427,398312.2892343244
263,121276.04135116702
598,166048.2975815026
2895,246324.15891349278
687,158956.64451140375
1822,131948.43487595685
2191,111761.2541336309
179,128282.88223826821
1009,201674.5718533725
2010,115570.92617828857
1991,126021.64990487228
1411,154875.49672216954
1721,258277.3207444745
1144,187696.27740662877
593,214031.71821085332
575,271265.3699973091
1249,169372.2790379924
1604,126741.19508455147
1064,486109.61737653083
1923,149863.53538365837
1988,103259.90478067548
2325,161798.4843596723
114,202897.26669584593
2700,210348.7628273565
217,157766.99921253114
343,181898.26951840616
386,241689.18555731876
2005,98773.35590853787
2908,141697.46079281473
1814,218274.85360722552
2446,541356.6911356674
208,127485.73526253224
1679,115541.66191063561
822,322543.1613227584
6,179429.6113453671
1781,416706.7241112053
2397,275722.5291481023
2340,292193.49780066847
1618,164658.4723816307
2843,133935.27258289506
1061,378752.5279808537
2786,120306.64084542928
1935,135874.8767644401
1341,114947.71963104581
521,306686.70871968963
2136,128908.7161558828
996,181640.2349729029
227,137883.79830696213
135,159686.14364675945
1167,162063.95403097183
294,223796.6935990528
1776,218020.8329273422
540,180232.77988381058
1717,195297.51174608117
2303,121267.41384666468
116,189535.64855421748
127,136556.32100896625
1371,130481.95569480435
1014,178055.48406603243
1507,100986.33519367217
702,135755.46056922444
750,134146.8935776179
261,144387.54282626053
1559,60859.09007209284
577,233292.4012940265
2812,206005.18316068035
2080,152587.01340812616
1368,124780.7162818908
2376,119320.86284365162
659,113580.12443671629
1235,125733.61260208036
332,92690.59731117821
1917,143492.8925014751
2094,245869.81539672485
1460,303264.3098954571
1471,200388.1314930005
1509,126915.56824056564
1922,139407.4665236023
433,523890.56591134303
460,263311.6559437755
1116,269287.26708944625
1137,165505.31653142945
53,187603.339594141
2354,249990.50100288755
1475,215781.95150182894
1761,734144.8021822938
842,137675.5433782472
2739,180305.97464179678
